countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,weekOfYear
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2018/08/27,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2018/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2018/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2018/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2019/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2019/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2019/03/17,12
United Kingdom,St. Patrick's Day [Northern Ireland] (Observed),St. Patrick's Day,FALSE,GB,2019/03/18,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2019/04/19,16
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2019/04/22,17
United Kingdom,May Day,May Day,TRUE,GB,2019/05/06,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2019/05/27,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2019/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2019/08/05,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2019/08/26,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2019/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2019/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2019/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2020/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2020/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2020/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2020/04/10,15
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2020/04/13,16
United Kingdom,May Day,May Day,TRUE,GB,2020/05/08,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2020/05/25,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2020/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2020/08/03,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2020/08/31,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2020/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2020/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2020/12/26,52
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2020/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2021/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2021/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2021/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2021/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2021/04/02,14
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2021/04/05,15
United Kingdom,May Day,May Day,TRUE,GB,2021/05/03,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2021/05/31,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2021/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2021/08/02,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2021/08/30,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2021/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2021/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2021/12/26,53
